match_id,batsman,runs_scored,balls_faced,strike_rate,venue,venue_avg,career_avg,last5_avg
419163,A Symonds,23,22.0,104.54545454545455,Dr DY Patil Sports Academy,16.62962962962963,32.56,31.4
419164,A Symonds,2,8.0,25.0,Dr DY Patil Sports Academy,16.62962962962963,32.19230769230769,25.4
501218,A Symonds,16,15.0,106.66666666666667,Wankhede Stadium,19.74621549421193,31.074074074074073,20.4
501221,A Symonds,31,26.0,119.23076923076923,Wankhede Stadium,19.74621549421193,30.535714285714285,19.8
501224,A Symonds,44,33.0,133.33333333333331,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,30.551724137931036,25.2
501231,A Symonds,17,26.0,65.38461538461539,Sawai Mansingh Stadium,19.84241531664212,31.0,23.2
501237,A Symonds,4,6.0,66.66666666666666,Wankhede Stadium,19.74621549421193,30.548387096774192,22.0
501241,A Symonds,3,3.0,100.0,Dr DY Patil Sports Academy,16.62962962962963,29.71875,22.4
501246,A Symonds,4,4.0,100.0,Wankhede Stadium,19.74621549421193,28.90909090909091,19.8
501251,A Symonds,8,6.0,133.33333333333331,"Punjab Cricket Association Stadium, Mohali",19.662264150943397,28.176470588235293,14.4
501256,A Symonds,8,19.0,42.10526315789473,Wankhede Stadium,19.74621549421193,27.6,7.2
336004,AB de Villiers,21,17.0,123.52941176470588,Dr DY Patil Sports Academy,16.62962962962963,26.0,26.0
336009,AB de Villiers,0,1.0,0.0,Feroz Shah Kotla,19.530133928571427,23.5,23.5
336015,AB de Villiers,20,22.0,90.9090909090909,Sawai Mansingh Stadium,19.84241531664212,15.666666666666666,15.666666666666666
336017,AB de Villiers,7,12.0,58.333333333333336,Eden Gardens,19.843501326259947,16.75,16.75
336026,AB de Villiers,21,25.0,84.0,M Chinnaswamy Stadium,19.957247132429615,14.8,14.8
392189,AB de Villiers,105,54.0,194.44444444444443,Kingsmead,16.502024291497975,15.833333333333334,13.8
392194,AB de Villiers,21,23.0,91.30434782608695,St George's Park,19.232323232323232,28.571428571428573,30.6
392198,AB de Villiers,50,40.0,125.0,SuperSport Park,19.884393063583815,27.625,34.8
392201,AB de Villiers,5,9.0,55.55555555555556,SuperSport Park,19.884393063583815,30.11111111111111,40.8
392206,AB de Villiers,0,1.0,0.0,New Wanderers Stadium,18.508474576271187,27.6,40.4
392215,AB de Villiers,50,38.0,131.57894736842107,Buffalo Park,16.130434782608695,25.09090909090909,36.2
392219,AB de Villiers,40,32.0,125.0,New Wanderers Stadium,18.508474576271187,27.166666666666668,25.2
392223,AB de Villiers,44,36.0,122.22222222222223,Kingsmead,16.502024291497975,28.153846153846153,29.0
392226,AB de Villiers,11,11.0,100.0,OUTsurance Oval,14.787878787878787,29.285714285714285,27.8
392230,AB de Villiers,79,55.0,143.63636363636363,OUTsurance Oval,14.787878787878787,28.066666666666666,29.0
392232,AB de Villiers,28,29.0,96.55172413793103,New Wanderers Stadium,18.508474576271187,31.25,44.8
392235,AB de Villiers,6,6.0,100.0,SuperSport Park,19.884393063583815,31.058823529411764,40.4
392237,AB de Villiers,26,21.0,123.80952380952381,SuperSport Park,19.884393063583815,29.666666666666668,33.6
419108,AB de Villiers,7,13.0,53.84615384615385,"Punjab Cricket Association Stadium, Mohali",19.662264150943397,29.473684210526315,30.0
419111,AB de Villiers,15,24.0,62.5,"Sardar Patel Stadium, Motera",19.612021857923498,28.35,29.2
419114,AB de Villiers,11,11.0,100.0,Feroz Shah Kotla,19.530133928571427,27.714285714285715,16.4
419116,AB de Villiers,2,3.0,66.66666666666666,Feroz Shah Kotla,19.530133928571427,26.954545454545453,13.0
